INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,CONTROL,ADM_RATE,SAT_AVG,PREDDEG
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,34.7834,-86.5685,1,0.8989,823.0,3
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,33.5022,-86.8092,1,0.8673,1146.0,3
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,32.3626,-86.174,2,,,3
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,34.7228,-86.6384,1,0.8062,1180.0,3
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/email/index.aspx,32.3643,-86.2957,1,0.5125,830.0,3
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,33.2144,-87.5458,1,0.5655,1171.0,3
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,32.9244,-85.9465,1,,,2
Athens State University,Athens,AL,35611,www.athens.edu,34.8056,-86.9651,1,,,3
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,32.3699,-86.1774,1,0.8371,970.0,3
Auburn University,Auburn University,AL,36849,www.auburn.edu,32.6002,-85.4924,1,0.8274,1215.0,3
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,33.5155,-86.8536,2,0.6422,1177.0,3
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu,32.4239,-85.0315,1,,,2
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/,32.4223,-87.0242,2,,,3
South University-Montgomery,Montgomery,AL,36116,southuniversity.edu,32.3427,-86.2165,3,0.4366,,2
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu,31.2975,-85.837,1,,,2
James H Faulkner State Community College,Bay Minette,AL,36507-2698,www.faulknerstate.edu,30.852,-87.7798,1,,,2
Faulkner University,Montgomery,AL,36109-3378,www.faulkner.edu,32.3842,-86.2164,2,,,3
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu,33.9919,-85.9913,1,,,2
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com,34.2593,-86.2,3,,,1
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu,31.3161,-85.4636,1,,,2
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu,34.0734,-86.7817,1,,,2
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu,32.4456,-87.0132,1,,,2
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/birmingham,33.4681,-86.8323,3,0.7234,,1
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu,32.3509,-86.2853,2,0.6279,999.0,3
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu,34.8591,-87.6621,2,,,3
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu,34.7721,-86.5738,1,,,1
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,33.8221,-85.7666,1,0.8326,1036.0,3
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu,31.102,-87.0858,1,,,2
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffstateonline.com,33.6524,-86.7074,1,,,2
John C Calhoun State Community College,Tanner,AL,35671,www.calhoun.edu,34.6543,-86.9491,1,,,2
Judson College,Marion,AL,36756,www.judson.edu,32.6305,-87.3161,2,0.7388,1023.0,3
